Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_crossStreet,location_postalCode,id,location_city,location_state,categories_name,categories_pluralName,categories_shortName,location_neighborhood,cluster_label
Kingston,Kingston,Snacks,Hazsbake,51.410732,-0.30192,,,KT1 1RB,603cdeb24814104b3fb88011,Kingston,Greater London,Bakery,Bakeries,Bakery,,6
Chelsea / Earl's Court / Fulham ,Knightsbridge,Breakfast,Burger & Lobster,51.50167738,-0.159466254,109-125 Knightsbridge,,SW1X 7RJ,51e1e009498ebf3b1423b84a,London,Greater London,Burger Joint,Burger Joints,Burgers,,0
Chelsea / Earl's Court / Fulham ,Knightsbridge,Restaurant,Al Basha,51.50232087,-0.157544162,48 Knightsbridge,,,574a287b498e43b1d935b5b1,London,Greater London,Middle Eastern Restaurant,Middle Eastern Restaurants,Middle Eastern,,0
Chelsea / Earl's Court / Fulham ,Knightsbridge,Library,Boston University London Library,51.492966,-0.185026,,,SW7,57f62ed0cd1040fbcdc0805a,London,Greater London,College Library,College Libraries,Library,,20
Chelsea / Earl's Court / Fulham ,Knightsbridge,Breakfast,Granger & Co.,51.49369339,-0.158765316,237 Pavillion Rd,,SW1X 0BP,595512e9bcbf7a23978fb733,London,Greater London,Food And Breakfast Spot,Food And Breakfast Spots,Food And Breakfast,,0
Chelsea / Earl's Court / Fulham ,Knightsbridge,Restaurant,Wulf & Lamb,51.49356299,-0.15875796,243 Pavilion Rd,,SW1X 0BP,59ea37c8356b491e436b04a4,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,,0
Chelsea / Earl's Court / Fulham ,Knightsbridge,Caf�,EL&N,51.49964669,-0.162241459,42 Hans Cr,,SW1X 0LZ,5c164f9facc5f5002c24c014,London,Greater London,Café,Cafés,Café,,0
Chelsea / Earl's Court / Fulham ,Knightsbridge,Restaurant,Quinta Pupusas,51.493702,-0.176289,18 Bute St,,SW7,5f9d8636551ee9255b40dbb3,London,Greater London,Comfort Food Restaurant,Comfort Food Restaurants,Comfort Food,,20
Lambeth / Camberwell / Walworth / Peckham,Walworth,Market,East Street Market,51.48811744,-0.094499588,East St,,SE17 1EL,4ac518eef964a52024ad20e3,London,Greater London,Market,Markets,Market,,10
Lambeth / Camberwell / Walworth / Peckham,Walworth,Park,Burgess Park,51.48242521,-0.085787773,Camberwell Rd,Albany Rd,SE5,4b20abbbf964a520cc3324e3,East Walworth,Greater London,Park,Parks,Park,,10
Lambeth / Camberwell / Walworth / Peckham,Walworth,Market,Morrisons,51.48750454,-0.095455357,264 Walworth Rd,,SE17 2DL,4bd3397341b9ef3bb598ffe5,London,Greater London,Supermarket,Supermarkets,Supermarket,,10
Lambeth / Camberwell / Walworth / Peckham,Lambeth,Restaurant,Dimi's Elephant Castle,51.487588,-0.087556,,,,56b111fa498e15ad20376ae2,,,German Restaurant,German Restaurants,German,,10
Lambeth / Camberwell / Walworth / Peckham,Walworth,Restaurant,Beza,51.491674,-0.096308,8A Sayer St,,SE17 1FH,5b1b09ec1fa763002c40c9ac,Elephant & Castle,Greater London,Ethiopian Restaurant,Ethiopian Restaurants,Ethiopian,,10
Lambeth / Camberwell / Walworth / Peckham,Walworth,Liquer,The Tap In,51.49159,-0.09629466,2 Sayer St,,SE17 1FG,5d6810494f6b660008a9f3c0,Elephant & Castle,Greater London,Sports Bar,Sports Bars,Sports Bar,,10
Sutton / Epsom / Banstead / Leatherhead,Leatherhead,Education,St John's School,51.29852577,-0.323466503,Epsom road,Garlands road,Kt22 8sp,4c082cc7ffb8c9b62fda6761,Leatherhead,Surrey,School,Schools,School,,35
Sutton / Epsom / Banstead / Leatherhead,Leatherhead,Education,Eastwick Junior School,51.28433355,-0.369618841,Eastwick Park Avenue,,,4c474213972c0f472a392321,Leatherhead,Surrey,Middle School,Middle Schools,Middle School,,35
Sutton / Epsom / Banstead / Leatherhead,Leatherhead,Grocery,Green Wise Foods,51.296105,-0.355322,,,,55a0db13498eacf2d0caa44b,,,Organic Grocery,Organic Groceries,Organic Grocery,,35
Sutton / Epsom / Banstead / Leatherhead,Leatherhead,Restaurant,Crazy Bean,51.278584,-0.373394,23 High Street,,KT23 4AA,5aad359e47f8761399a8cd1d,Leatherhead,Surrey,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,,35
Greenwich / Poplar / Rotherhithe,Lee,Education,Trinity School,51.45485517,0.008044695,Taunton Rd.,,SE12 8PD,4d3185102c76a1435a4466c7,Lee,Greater London,High School,High Schools,High School,,3
Holborn / Clerkenwell / Soho (SE),Leicester Square,Movie Theater,Vue,51.51133865,-0.129317333,3 Cranbourn St,Leicester Sq,WC2H 7AL,4ac518e9f964a520c4ab20e3,Leicester Square,Greater London,Multiplex,Multiplexes,Cineplex,,37
Southwark / Lewisham,Lewisham / Southwark,Park,Hilly Fields,51.46001018,-0.025599003,Adelaide Ave,Montague Ave,SE13 7JL,4afd75a5f964a520f42722e3,London,Greater London,Park,Parks,Park,,3
Southwark / Lewisham,Lewisham / Southwark,Library,Manor House Library,51.45709797,0.004808257,34 Old Road,,SE13 5SY,4b5d7794f964a520f55d29e3,Lee,Greater London,Library,Libraries,Library,,3
Southwark / Lewisham,Lewisham / Southwark,Education,City of London Academy,51.48906417,-0.065745406,240 Lynton Rd,,,4bab25adf964a520d4963ae3,Southwark,Greater London,High School,High Schools,High School,,10
Southwark / Lewisham,Lewisham / Southwark,Health,University Hospital Lewisham,51.45352583,-0.017441453,Lewisham High St,,SE13 6LH,4bfa440ab182c9b6fe137a5a,London,Greater London,Hospital,Hospitals,Hospital,,3
Southwark / Lewisham,Lewisham / Southwark,Market,Lewisham Market,51.46170607,-0.010514735,Lewisham High Street,Lewis Grove,S E13,4c66c0de9cedd13a508a76a1,London,Greater London,Market,Markets,Market,,3
Southwark / Lewisham,Lewisham / Southwark,Market,Furness Fish,51.50548145,-0.090907236,,,,4c6d3192463537045d5208bc,London,Greater London,Fish Market,Fish Markets,Fish Market,,10
Southwark / Lewisham,Lewisham / Southwark,Nightlife,Okd Street,51.526716,-0.081546,,,,4e62b828483bd9a974769be9,London,Greater London,Other Nightlife,Other Nightlife,Nightlife,,10
Southwark / Lewisham,Lewisham / Southwark,Nightlife,Milonga8,51.49980927,-0.081880197,,,,4f91e7b1e4b07256eede71b4,,,Other Nightlife,Other Nightlife,Nightlife,,10
Southwark / Lewisham,Lewisham / Southwark,Market,England Preserves,51.496215,-0.06791,,,,504b186ee4b0720195df1657,,,Farmers Market,Farmers Markets,Farmer's Market,,10
Southwark / Lewisham,Lewisham / Southwark,Nightlife,Skyline Suite,51.4915653,-0.120629496,,,,504e3e52e4b061de6e245d50,,,Other Nightlife,Other Nightlife,Nightlife,,37
Southwark / Lewisham,Lewisham / Southwark,Library,Kcl Library Short Loan Room,51.505827,-0.112268,,,,50a3af11e4b0984b71bf5a1d,,,College Library,College Libraries,Library,,37
Southwark / Lewisham,Lewisham / Southwark,Nightlife,Már a Fabricra Gyúrok,51.518359,-0.109076,,,,50aff0c8e4b01d0e2b2ee5c3,,,Other Nightlife,Other Nightlife,Nightlife,,37
Southwark / Lewisham,Lewisham / Southwark,Nightlife,insomnia,51.4892502,-0.116466208,,,,515b59dbe4b0b5f269f3bca9,,,Other Nightlife,Other Nightlife,Nightlife,,23
Southwark / Lewisham,Lewisham / Southwark,Market,Cornish Day Boat Fresh Fish,51.505423,-0.090832,,,,523d72bc11d27a4977f9bf5c,,,Fish Market,Fish Markets,Fish Market,,10
Southwark / Lewisham,Lewisham / Southwark,Movie Theater,Odean Surrey Quays,51.48216005,-0.040015685,,,,528292ce11d2a1ca07c0f3f7,,,Multiplex,Multiplexes,Cineplex,,3
Southwark / Lewisham,Lewisham / Southwark,Education,Globe Academy,51.49561241,-0.091178711,,,,528a637011d2863860f56a4a,,,Middle School,Middle Schools,Middle School,,10
Southwark / Lewisham,Lewisham / Southwark,Education,Bickley Park School,51.400925,0.043216,,,,52a0ccb211d2f1f94023bbae,,,Middle School,Middle Schools,Middle School,,16
Southwark / Lewisham,Lewisham / Southwark,Nightlife,M&R,51.499469,-0.059108,,,,560837b6498ee633254841e4,,,Night Market,Night Markets,Night Market,,10
Southwark / Lewisham,Lewisham / Southwark,Education,newlands academy,51.458759,-0.049677,,,,58b00514040d5353ecddeeb7,,,Middle School,Middle Schools,Middle School,,36
Southwark / Lewisham,Lewisham / Southwark,Nightlife,la streetzer,51.494282,-0.088961,,,,58d4786adebdf62e17f69fdc,,,Night Market,Night Markets,Night Market,,10
Southwark / Lewisham,Lewisham / Southwark,Snacks,H Hirst & Sons,51.455135,-0.01579117,350 Lewisham road,,SE13 6LE,5c9f7e416a5950002cf09dc3,London,Greater London,Bakery,Bakeries,Bakery,Lewisham Central,3
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Market,New Spitalfields Market,51.55572835,-0.019569397,23 Sherrin Rd,Off Ruckholt Rd.,E10 5SQ,4ba308eef964a520e12838e3,London,Greater London,Market,Markets,Market,"Leyton, London, Greater London",22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Health,Whipps Cross University Hospital,51.57806108,0.00280417,Whipps Cross Rd,James Ln,E11 1NR,4ba8e760f964a520aff839e3,Leytonstone,Greater London,Hospital,Hospitals,Hospital,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Health,Divers Emergency Service - UK,51.57765192,0.003405782,Whipps Cross University Hospital,Whipps Cross Rd.,E11 1NR,4d344392b5c78eec4aa04cbf,Leytonstone,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Library,Leyton Library,51.55846219,-0.007229856,273 Leyton High Rd,,E10 5HQ,4edad01330f83fb79d352df4,London,Greater London,Library,Libraries,Library,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Education,Buxton School Secondary Phase,51.55931942,0.010456223,"26 Terling Close,London,Greater London",,E11 3NT,507ece58e4b0e40f4df07147,London,Greater London,Middle School,Middle Schools,Middle School,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Library,Lea Bridge Library,51.57085555,-0.023728507,382 Lea Bridge Road,,E10 7HU,55e73333498e359a78743b1c,,,Library,Libraries,Library,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Liquer,Yardarm,51.56440162,-0.006959793,238 Francis Road,,,56e44e7a498e09da1671db27,London,Greater London,Wine Bar,Wine Bars,Wine Bar,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Market,Harveys fruit & veg,51.577749,0.026502,,,,57cbf489498e1289e471ecd3,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Education,Little Bear's Daycare Group,51.5752384,0.0285843,3 The Green,,E11 2NT,59b7ba46e2ead104a139c1b6,London,Greater London,School,Schools,School,,22
Leytonstone / Olympic Park / Walthamstow / Ilford,Leytonstone,Health,Emergency Department,51.578134,0.004229,Whipps Cross University Hospital,,E11,5c7651c082a75000394c1c6a,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,22
St Albans / London Colney,London Colney,Entertainment,Willows Farm Tractor Ride,51.71989218,-0.276145496,Coursers Rd.,Willow's Farm,AL4 0PF,4e0ef4f1483bc2b5f486bc1b,London Colney,Hertfordshire,Theme Park,Theme Parks,Theme Park,,18
Chertsey,Lyne,Market,The Farm Shop,51.38721507,-0.52665444,Hardwick Lane,,KT16 0AA,4cbaee72035d236a9c1edd4e,Lyne,,Farmers Market,Farmers Markets,Farmer's Market,,5
Chelsea / Earl's Court / Fulham ,Maida Hill,Health,Paddington Recreation Ground,51.53023918,-0.190415382,Randolph Ave,,W9 1PD,4ac518cef964a52033a620e3,London,Greater London,Athletics & Sports,Athletics & Sports,Athletics & Sports,,27
Chelsea / Earl's Court / Fulham ,Maida Hill,Caf�,Raouls,51.52567737,-0.179106833,13 Clifton Rd,,W9 1SZ,4ac518d6f964a52046a820e3,London,Greater London,Café,Cafés,Café,Little Venice,27
Chelsea / Earl's Court / Fulham ,Maida Hill,Restaurant,The Summer House,51.52209856,-0.186223116,60 Blomfield Rd,,W9 2PA,4bbf88d0abf49521c4cebd93,City of Westminster,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,Little Venice,20
Chelsea / Earl's Court / Fulham ,Maida Hill,Library,Maida Vale Library,51.52474045,-0.190254169,Sutherland Ave,,W9 2QT,4bc779df6501c9b675813e29,Maida Vale,Greater London,Library,Libraries,Library,,20
Chelsea / Earl's Court / Fulham ,Maida Hill,Liquer,Real Ale,51.5245221,-0.184537337,4 Formosa St,,W9 3HL,59a0692e9be5226794e3d129,Maida Vale,Greater London,Bar,Bars,Bar,,27
Greenwich / Poplar / Rotherhithe,Mansion House,Restaurant,Nusa Kitchen,51.511329,-0.089129,88 Cannon St,,EC4N 6HT,52f8ca14498efd7a3b655252,London,Greater London,Asian Restaurant,Asian Restaurants,Asian,,10
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Fishworks Marylebone,51.52011263,-0.151878001,89 Marylebone High St,btw Paddington and Moxon Sts,W1U 4QW,4ac518e1f964a5204daa20e3,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Marylebone / Fitzrovia / Central London,Marylebone,Market,Church Street Market,51.52234227,-0.171973855,Church St,,NW8 8EG,4ac518eef964a52023ad20e3,Marylebone,Greater London,Market,Markets,Market,,27
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Ibérica,51.52257243,-0.143923083,195 Great Portland St,,W1W 5PS,4acfa431f964a52022d520e3,Marylebone,Greater London,Spanish Restaurant,Spanish Restaurants,Spanish,,0
Marylebone / Fitzrovia / Central London,Marylebone,Market,Marylebone Farmers' Market,51.51917561,-0.152763651,Cramer Street Car Park,Cramer St,W1U 2SF,4b4a0eb6f964a520347926e3,London,Greater London,Farmers Market,Farmers Markets,Farmer's Market,,0
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Le Relais de Venise LEntrecôte,51.51810448,-0.151061686,120 Marylebone Ln,,W1U 2QG,4b6ace9ef964a5203ee12be3,Marylebone,Greater London,French Restaurant,French Restaurants,French,,0
Marylebone / Fitzrovia / Central London,Marylebone,Nightlife,Flava,51.52098764,-0.159888209,,,,517af8e9498e4dd18f2aeb97,,,Other Nightlife,Other Nightlife,Nightlife,,0
Marylebone / Fitzrovia / Central London,Marylebone,Library,AIU Library,51.520322,-0.152443138,Garbutt Place,,,528a4c6a11d2dd3b683dfdfb,,,College Library,College Libraries,Library,,0
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Côte Brasserie,51.52113858,-0.15146676,26-27 Devonshire St,,W1G 6PL,52bc1d3411d2dc72f084270a,Marylebone,Greater London,French Restaurant,French Restaurants,French,,0
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Beast,51.51535642,-0.146896237,3 Chapel Pl,,W1G 0BG,5356aedf498eed89f35c9967,Marylebone,Greater London,Steakhouse,Steakhouses,Steakhouse,,0
Marylebone / Fitzrovia / Central London,Marylebone,Restaurant,Fischer's,51.521627,-0.151688,50 Marylebone High St,,W1U 5HN,5387349c498ec1985aac953c,London,Greater London,Austrian Restaurant,Austrian Restaurants,Austrian,,0
Marylebone / Fitzrovia / Central London,Marylebone,Nightlife,The Amb'roof top,51.51924578,-0.151132575,,,,56465bc6498e8bfc0a68d586,,,Other Nightlife,Other Nightlife,Nightlife,,0
Marylebone / Fitzrovia / Central London,Marylebone,Library,Marylebone Library,51.52087,-0.15069354,,,,580dfa2d38fa4875b558f3eb,,,College Library,College Libraries,Library,,0
Marylebone / Fitzrovia / Central London,Marylebone,Movie Theater,The Cinema At Selfridges,51.514635,-0.151656,40 Duke Street,,W1U 1AT,5dd84e679ca2af00081d3bbf,London,Greater London,Multiplex,Multiplexes,Cineplex,,0
Mayfair / Piccadilly,"Mayfair (east), Hanover Square, Savile Row, Royal Academy",Restaurant,StreetXO,51.51126083,-0.141082967,15 Old Burlington St,,W1S 2JL,5815708138fa53b604189cff,London,Greater London,Spanish Restaurant,Spanish Restaurants,Spanish,Mayfair,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Restaurant,Scott's,51.509916,-0.150836,20 Mount St,,W1K 2HE,4ac518d8f964a52085a820e3,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Liquer,Connaught Bar,51.51004233,-0.149627633,16 Carlos Pl,,W1K 2AL,4bc466bf920eb71373a41e2c,London,Greater London,Hotel Bar,Hotel Bars,Hotel Bar,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Nightlife,Aura Night Club,51.50768877,-0.140483726,49 St. James St.,,,4bf5a6e85efe2d7f5cb46534,London,Greater London,Nightclub,Nightclubs,Nightclub,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Liquer,Marriott Grosvenor House Executive Lounge,51.50975427,-0.155246086,86-90 Park Ln,,W1K 7TN,4e7c71b79a523f16b2afbbbe,London,Greater London,Hotel Bar,Hotel Bars,Hotel Bar,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Nightlife,Piccadily,51.508065,-0.143526648,,,,51faf699498e49e9f4760236,,,Other Nightlife,Other Nightlife,Nightlife,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Restaurant,North Audley Cantine (NAC),51.51246172,-0.153264105,41 North Audley St,,W1K 6ZP,521209e311d2ac3f5ea4f1c0,London,Greater London,French Restaurant,French Restaurants,French,Mayfair,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Restaurant,Jean Georges,51.51014725,-0.149423354,16 Carlos Pl,,W1K 2AL,5980dbf30ff4f9479f731d60,London,Greater London,French Restaurant,French Restaurants,French,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Caf�,EL&N,51.50681594,-0.151888132,48 Park Ln,Deanery St,W1K 1PR,59989fbabfc6d00305ddab7e,London,Greater London,Café,Cafés,Café,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Hotel,JOE & THE JUICE,51.51345575,-0.153471977,20 North Audley St,,W1K 6LX,5cb044142be425002c5682b4,London,Greater London,Juice Bar,Juice Bars,Juice Bar,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Hotel,Marchesi,51.510158,-0.1483,117 Mount St,,W1K 3LA,5ce7fcd100b068002d2aa51f,Mayfair,Greater London,Pastry Shop,Pastry Shops,Pastry,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Caf�,The Connaught Patisserie,51.509911,-0.150026,The Connaught,Mount St,W1K 2AL,5f9ae3e37bedd9494d7bb53c,Mayfair,Greater London,Café,Cafés,Café,,0
Mayfair / Piccadilly,"Mayfair (north), Grosvenor Square",Caf�,Hideaway,51.509645,-0.15049,100 Mount St,,W1K 2TG,5fc7b2f0f5c6d07db10e391c,London,Greater London,Café,Cafés,Café,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,Caviar House & Prunier,51.507516,-0.140821,161 Piccadilly,,W1J 9EA,4ac518d8f964a52086a820e3,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Breakfast,Chop'd,51.50706987,-0.146057131,52 Curzon St,Half Moon Street,W1J 7UP,4c18c029838020a1f48ee461,London,Greater London,Salad Place,Salad Places,Salad,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Art,Kennel Club,51.5062546,-0.144151522,1-5 Clarges Street,off Piccadilly,,4c2b5ff0355cef3bd941cd56,London,,Art Gallery,Art Galleries,Art Gallery,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,Burger & Lobster,51.50711752,-0.145476803,29 Clarges St,Curzon St,W1J 7EF,4eea45ad99111dae87cfdbd1,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Education,Linnean Society,51.50846585,-0.139196319,50-52 Piccadilly,,W1J 0BF,505adb4de4b04a22fdade55a,London,Greater London,General College & University,General Colleges & Universities,Education,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,Hawksmoor Air Street,51.509721,-0.136162,5A Air Street,Regent St,W1J 0AD,5060af30e4b05cb4c6f51de2,Soho,Greater London,Steakhouse,Steakhouses,Steakhouse,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Hotel,Carpo Piccadilly,51.50956386,-0.135535995,16 Piccadilly,,W1J 0DE,5113babbd63e8bb673ce4b25,London,Greater London,Gourmet Shop,Gourmet Shops,Gourmet,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,May Fair Kitchen,51.50788202,-0.143918807,The May Fair Hotel,70 Stratton St,W1J 8LT,53b1a45a498eaa800d47e8da,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,Sexy Fish,51.509286,-0.144335,"Berkeley Square,Berkeley Square House",,W1J 6BR,560914bc498e1ae1fee840d9,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Hotel,Ferdi,51.50650181,-0.146461905,30 Shepherd Market,,W1J 7QN,586f8ecf6119f44c251632ce,Mayfair,Greater London,Bistro,Bistros,Bistro,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Restaurant,Le Deli Robuchon,51.506416,-0.143726,82 Piccadilly,,W1J 8JA,5de8d5eb3898ea0008857ee3,London,Greater London,French Restaurant,French Restaurants,French,,0
Mayfair / Piccadilly,"Mayfair (south), Piccadilly",Nightlife,Myfair,51.50979,-0.146552,,,W1J,6037d50a6f34de7afedda953,London,Greater London,Night Market,Night Markets,Night Market,,0
Sutton / Epsom / Banstead / Leatherhead,Mickleham,Library,library BHschool,51.2692431,-0.323423927,Box Hill school,,,4fb0c5fce4b0c0e08ef3d942,Mickleham,Surrey,College Library,College Libraries,Library,,35
Hampstead / Kilburn / Belsize Park,Mill Hill,Breakfast,KFC,51.62163525,-0.256162071,Apex Corner,Northway Circus,NW7 3ET,4bf6e3b313aed13a0467eaf7,Edgware,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,33
Kingston,Molesey,Hotel,The Allium Restaurant and Hospitality Centre,51.400917,-0.334301,,,,4ff84497e4b0b8fdaa7d4044,,,Food Court,Food Courts,Food Court,,6
Sutton / Epsom / Banstead / Leatherhead,Morden,Nightlife,Central Ward Residents Club,51.39902516,-0.207551561,Ashridge Way,,SM4 4ED,4ccc731fba0a5481d27b3d59,Morden,Greater London,Other Nightlife,Other Nightlife,Nightlife,,2
Sutton / Epsom / Banstead / Leatherhead,Morden,Nightlife,The Hollis Party House,51.400201,-0.197201,Queens place,,,4d9775e961a3a1cd7211b642,Morden,Greater London,Other Nightlife,Other Nightlife,Nightlife,,13
Holloway / Hornsey / Wood Green,Muswell Hill,Grocery,Planet Organic,51.58934449,-0.145660772,Muswell Hill,,,4ccb052397d0224bb59856b8,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,,9
Holloway / Hornsey / Wood Green,Muswell Hill,Breakfast,Soup Satisfaction,51.588624,-0.146235,,,N10 3NG,5d7e5937f290e100088f9364,London,Greater London,Soup Place,Soup Places,Soup,,9
Holloway / Hornsey / Wood Green,Muswell Hill,Market,Greens Of Highgate,51.590244,-0.14349349,,,N10 3RU,5ec52179a93f0c0008e0445d,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,9
Holloway / Hornsey / Wood Green,Muswell Hill,Market,Greens In The Hill,51.591442,-0.14166188,,,N10 2QS,5fad7c461a6e02646fc03b8c,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,9
Greenwich / Poplar / Rotherhithe,New Cross,Library,Goldsmiths Library,51.47535307,-0.035854388,"Rutherford Building, Lewisham Way","Goldsmiths, University of London",SE14 6NW,4b547d32f964a52028bd27e3,New Cross,Greater London,College Library,College Libraries,Library,,3
Kingston,New Malden,Education,Coombe Girls School,51.41001267,-0.26367955,,,,4e78bb598998834aa43d9078,New Malden,Greater London,High School,High Schools,High School,,6
Enfield / Upper Edmonton / Barnet,North Finchley,Breakfast,Boulangerie Joie De Vie,51.61407919,-0.176805055,359 Ballard Lane,,N12 8LJ,50c46122e4b013fc6ad33e01,North Finchley,Greater London,Food And Breakfast Spot,Food And Breakfast Spots,Food And Breakfast,,30
Camden,North Western Head district,Library,British Library,51.52961016,-0.127490209,96 Euston Rd,,NW1 2DB,4ac518cef964a52019a620e3,London,Greater London,Library,Libraries,Library,,37
Camden,North Western Head district,Market,Camden Stables Market,51.54213145,-0.147693157,Chalk Farm Rd,,NW1 8AH,4ac518ebf964a52049ac20e3,London,Greater London,Market,Markets,Market,,27
Camden,North Western Head district,Market,Camden Lock Market,51.541475,-0.146084243,54-56 Camden Lock Pl,,NW1 8AF,4ac518f4f964a520fbae20e3,London,Greater London,Market,Markets,Market,,27
Camden,North Western Head district,Movie Theater,Odeon,51.53883682,-0.143529023,14 The Parkway,,NW1 7AA,4adb6d89f964a520582721e3,London,Greater London,Multiplex,Multiplexes,Cineplex,,37
Camden,North Western head district,Park,Gladstone Park,51.55754274,-0.236635208,Dollis Hill Ln,,NW2,4b419479f964a520a8c725e3,London,Greater London,Park,Parks,Park,,33
Camden,North Western Head district,Restaurant,Diwana Bhel Poori House,51.52716476,-0.136578243,121-123 Drummond St,,NW1 2HL,4b61b162f964a520701d2ae3,Euston,Greater London,Indian Restaurant,Indian Restaurants,Indian,,37
Camden,North Western Head district,Caf�,The Blues Kitchen,51.53718204,-0.141098859,111-113 Camden High St,,NW1 7JN,4b6c2ba2f964a52078272ce3,Camden Town,Greater London,Lounge,Lounges,Lounge,,37
Camden,North Western Head district,Grocery,Whole Foods Market,51.53799863,-0.144622616,49 Parkway,,NW1 7PN,4b740ca9f964a52071c52de3,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,37
Camden,North Western Head district,Health,University College Hospital,51.52500442,-0.136338617,235 Euston Rd,Gower St,NW1 2BU,4bfb839cab180f479befb3ce,Camden Town,Greater London,Hospital,Hospitals,Hospital,,37
Camden,North Western Head district,Market,Le Petite Poissonnerie,51.54035465,-0.151306048,,,NW1 8LD,4c6bb6cc9c76d13a46ac4e0f,Primrose Hill,Greater London,Fish Market,Fish Markets,Fish Market,,27
Camden,North Western Head district,Education,Primrose Hill Primary School,51.53924293,-0.151736077,Princess Rd,,NW1 8JL,4d89f7a6f607a093d7d6f486,Primrose Hill,Greater London,Elementary School,Elementary Schools,Elementary School,,27
Camden,North Western Head district,Caf�,The Little One,51.54246922,-0.155601342,115 Regents Park Rd.,,NW1 8UR,4de0e03fae605835c45db1cf,Primrose Hill,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,27
Camden,North Western head district,Market,Fish,51.55650176,-0.215241946,,Cricklewood broadway,NW2,4f6b6a66e4b0e30e0adaa44d,London,Greater London,Fish Market,Fish Markets,Fish Market,,33
Camden,North Western Head district,Restaurant,Purezza,51.53815367,-0.144345187,43 Parkway,,NW1 7PN,5abc05a189b06a1d511fa6a0,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,,37
